3,-4.07,4.56,0.02,-0.05,0.07
591058,8.22,-4.22,3.36,-0.02,0.13,-0.11
591071,8.43,-3.85,3.33,-0.12,0.15,-0.08
591084,7.92,-5.11,4.06,-0.22,0.17,-0.09
591097,8.51,-4.14,2.96,-0.10,0.10,-0.14
591110,8.18,-4.10,3.41,-0.05,0.02,-0.12
591123,8.19,-4.26,3.72,-0.03,-0.02,-0.07
591136,7.92,-3.84,4.12,-0.01,-0.09,-0.04
591149,8.62,-4.15,3.62,-0.04,-0.14,-0.02
591162,8.27,-3.82,3.83,-0.02,-0.14,-0.05
591175,8.22,-3.59,3.65,-0.02,-0.20,-0.02
591188,8.86,-3.97,2.84,-0.09,-0.21,-0.02
591201,8.56,-4.23,3.22,-0.03,-0.14,-0.04
591214,8.12,-3.71,3.48,0.07,-0.13,-0.02
591227,7.90,-3.92,3.62,0.02,-0.11,-0.01
591240,8.84,-4.15,2.82,-0.06,-0.19,0.08
591253,8.02,-4.60,3.68,-0.02,-0.11,0.08
591266,8.54,-4.20,3.14,0.00,-0.17,0.05
591279,8.43,-4.23,3.18,0.21,-0.08,0.02
591292,8.10,-4.08,3.77,0.23,-0.10,0.02
591305,7.70,-3.54,3.49,0.18,-0.15,0.03
591318,7.97,-4.05,3.63,0.12,-0.12,0.08
591331,7.99,-4.05,3.55,0.22,-0.16,0.14
591344,8.40,-4.28,3.62,0.16,-0.23,0.16
591357,8.68,-4.38,3.16,0.30,-0.27,0.24
591370,9.13,-5.01,3.53,0.21,-0.24,0.23
591383,7.08,-4.45,3.81,0.21,-0.18,0.17
591396,8.13,-4.55,3.37,0.42,-0.22,0.16
591409,8.73,-4.20,3.69,0.44,-0.13,0.12
591422,8.46,-4.34,4.17,0.47,-0.15,0.10
591435,7.35,-3.80,4.21,0.38,-0.22,0.13
591448,8.14,-3.62,3.94,0.45,-0.26,0.20
591461,8.22,-3.94,3.60,0.43,-0.29,0.30
591474,7.90,-3.80,3.46,0.49,-0.29,0.37
591487,8.86,-4.01,3.72,0.44,-0.24,0.33
591500,8.32,-4.28,3.78,0.35,-0.19,0.28
591513,7.57,-3.75,4.19,0.38,-0.18,0.24
591526,8.79,-4.51,3.65,0.45,-0.11,0.20
591539,7.75,-3.50,4.18,0.50,-0.07,0.15
591552,8.03,-3.79,3.89,0.47,-0.10,0.17
